CIPCODE,CIPDESC
5108,Allied Health and Medical Assisting Services
0303,Fishing and Fisheries Sciences and Management
0399,"Natural Resources and Conservation, Other"
1421,Mining and Mineral Engineering
1425,Petroleum Engineering
1439,Geological/Geophysical Engineering
1603,"East Asian Languages, Literatures, and Linguistics"
1610,"American Indian/Native American Languages, Literatures, and Linguistics"
1699,"Foreign Languages, Literatures, and Linguistics, Other"
4402,Community Organization and Advocacy
5006,Film/Video and Photographic Arts
3106,Outdoor Education
0406,Landscape Architecture
1003,Graphic Communications
1105,Computer Systems Analysis
1413,Engineering Science
1512,Computer Engineering Technologies/Technicians
1515,Engineering-Related Fields
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics"
2610,Pharmacology and Toxicology
3028,Dispute Resolution
3031,Human Computer Interaction
3038,Earth Systems Science
3070,Data Science
4100,"Science Technologies/Technicians, General"
4512,Urban Studies/Affairs
5112,Medicine
1108,Computer Software and Media Applications
1304,Educational Administration and Supervision
1427,Systems Engineering
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics"
2201,Law
2299,"Legal Professions and Studies, Other"
2699,"Biological and Biomedical Sciences, Other"
2902,"Intelligence, Command Control and Information Operations"
3018,Natural Sciences
3051,"Philosophy, Politics, and Economics"
4002,Astronomy and Astrophysics
4010,Materials Sciences
2314,Literature
3027,Human Biology
1302,"Bilingual, Multilingual, and Multicultural Education"
3030,Computational Science
5219,"Specialized Sales, Merchandising and Marketing Operations"
3999,"Theology and Religious Vocations, Other"
1442,"Mechatronics, Robotics, and Automation Engineering"
5118,Ophthalmic and Optometric Support Services and Allied Professions
0106,Applied Horticulture and Horticultural Business Services
1103,Data Processing
5217,Insurance
1001,Communications Technology/Technician
1906,Housing and Human Environments
1305,Educational/Instructional Media Design
1513,Drafting/Design Engineering Technologies/Technicians
1902,Family and Consumer Sciences/Human Sciences Business Services
4706,Vehicle Maintenance and Repair Technologies
1504,Electromechanical Instrumentation and Maintenance Technologies/Technicians
1447,Electrical and Computer Engineering
2706,Applied Statistics
3071,Data Analytics
4807,Woodworking
5002,"Crafts/Craft Design, Folk Art and Artisanry"
1403,Agricultural Engineering
0102,Agricultural Mechanization
3032,Marine Sciences
3025,Cognitive Science
3016,Accounting and Computer Science
5215,Real Estate
0183,Veterinary/Animal Health Technologies/Technicians
2603,Botany/Plant Biology
3008,Mathematics and Computer Science
2399,"English Language and Literature/Letters, Other"
3005,Peace Studies and Conflict Resolution
1437,Operations Research
3011,Gerontology
1423,Nuclear Engineering
1613,"Celtic Languages, Literatures, and Linguistics"
3022,Classical and Ancient Studies
0107,International Agriculture
1309,Social and Philosophical Foundations of Education
0410,Real Estate Development
3013,Medieval and Renaissance Studies
4503,Archeology
4903,Marine Transportation
3006,Systems Science and Theory
1203,Funeral Service and Mortuary Science
5221,Telecommunications Management
5132,Bioethics/Medical Ethics
0910,Publishing
4513,Sociology and Anthropology
4101,Biology Technician/Biotechnology Laboratory Technician
3041,Environmental Geosciences
4505,Demography and Population Studies
3047,Linguistics and Anthropology
0408,Architectural History and Criticism
3401,Health-Related Knowledge and Skills
1307,International and Comparative Education
2799,"Mathematics and Statistics, Other"
1303,Curriculum and Instruction
3014,Museology/Museum Studies
1443,Biochemical Engineering
1204,Cosmetology and Related Personal Grooming Services
1502,Civil Engineering Technologies/Technicians
5133,Alternative and Complementary Medicine and Medical Systems
5136,Movement and Mind-Body Therapies and Education
1505,Environmental Control Technologies/Technicians
1444,Engineering Chemistry
2903,Military Applied Sciences
2904,Military Systems and Maintenance Technology
1501,Architectural Engineering Technologies/Technicians
2501,Library Science and Administration
1422,Naval Architecture and Marine Engineering
1314,Teaching English or French as a Second or Foreign Language
3012,Historic Preservation and Conservation
4202,Clinical Psychology
5105,Advanced/Graduate Dentistry and Oral Sciences
1424,Ocean Engineering
1438,Surveying Engineering
0104,Agricultural and Food Products Processing
3044,Geography and Environmental Studies
5116,Nursing
1517,Energy Systems Technologies/Technicians
5204,Business Operations Support and Assistant Services
3046,History and Political Science
1428,Textile Sciences and Engineering
1614,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics"
3052,Digital Humanities and Textual Studies
1514,Nuclear Engineering Technologies/Technicians
4603,Electrical and Power Transmission Installers
4701,Electrical/Electronics Maintenance and Repair Technology
4805,Precision Metal Working
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)"
4703,Heavy/Industrial Equipment Maintenance Technologies
5101,Chiropractic
1315,Teaching Assistants/Aides
1607,"South Asian Languages, Literatures, and Linguistics"
1099,"Communications Technologies/Technicians and Support Services, Other"
1411,Engineering Mechanics
4999,"Transportation and Materials Moving, Other"
2801,"Air Force ROTC, Air Science and Operations"
5011,Community/Environmental/Socially-Engaged Art
1448,Energy Systems Engineering
3039,Economics and Computer Science
4011,Physics and Astronomy
2803,"Army ROTC, Military Science and Operations"
0180,Veterinary Medicine
1509,Mining and Petroleum Technologies/Technicians
3201,Basic Skills and Developmental/Remedial Education
3029,Maritime Studies
1608,"Iranian/Persian Languages, Literatures, and Linguistics"
5302,High School/Secondary Certificate Programs
4206,Counseling Psychology
1602,"African Languages, Literatures, and Linguistics"
1615,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics"
5301,High School/Secondary Diploma Programs
3301,Citizenship Activities
1441,Electromechanical Engineering
5216,Taxation
0599,"Area, Ethnic, Cultural, and Gender Studies, Other"
1606,Modern Greek Language and Literature
4102,Nuclear and Industrial Radiologic Technologies/Technicians
5135,Somatic Bodywork and Related Therapeutic Services
1440,Paper Science and Engineering
3036,Cultural Studies and Comparative Literature
2999,"Military Technologies and Applied Sciences, Other"
1406,Ceramic Sciences and Engineering
5117,Optometry
3908,Religious Institution Administration and Law
4600,"Construction Trades, General"
3021,Holocaust and Related Studies
3049,Mathematical Economics
4799,"Mechanic and Repair Technologies/Technicians, Other"
4103,Physical Science Technologies/Technicians
0182,Veterinary Administrative Services
4699,"Construction Trades, Other"
1516,Nanotechnology
2805,Military Science and Operational Studies
2806,Security Policy and Strategy
2906,Military Technology and Applied Sciences Management
1434,Forest Engineering
2305,Creative Writing
3045,History and Language/Literature
5137,Energy and Biologically Based Therapies
1910,Work and Family Studies
3034,Anthrozoology
5134,Alternative and Complementary Medical Support Services
3501,Interpersonal and Social Skills
5104,Dentistry
5114,Medical Clinical Sciences/Graduate Medical Studies
2503,Library and Archives Assisting
